City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
451,rosarito,32.3333,-117.0333,296.28,39,88,4.84,MX,1675459591
452,pudozh,61.8099,36.5345,267.63,96,100,2.02,RU,1675459843
453,komsomolskiy,40.4272,71.7189,278.55,87,40,1.03,UZ,1675459843
454,buraydah,26.326,43.975,284.4,42,0,3.97,SA,1675459844
455,yulara,-25.2406,130.9889,291.17,44,0,6.22,AU,1675459844
456,swellendam,-34.0226,20.4417,292.35,74,0,3.89,ZA,1675459845
457,luderitz,-26.6481,15.1594,290.71,79,3,6.28,NA,1675459845
458,havelock,34.8791,-76.9013,282.58,52,20,7.2,US,1675459846
459,khasan,42.4308,130.6434,263.67,81,74,2.33,RU,1675459846
460,bolobo,-2.1667,16.2333,297.31,73,79,1.47,CD,1675459847
461,general roca,-39.0333,-67.5833,309.05,14,5,3.26,AR,1675459847
462,yenangyaung,20.4667,94.8833,295.23,54,62,0.58,MM,1675459848
463,ancud,-41.8697,-73.8203,294.17,64,3,2.59,CL,1675459848
464,burgeo,47.6167,-57.6152,267.71,88,100,13.78,CA,1675459829
465,san jose,37.3394,-121.895,288.02,74,100,2.68,US,1675459815
466,saint george,37.1041,-113.5841,285.51,40,0,0.45,US,1675459849
467,alofi,-19.0595,-169.9187,297.09,100,100,3.09,NU,1675459850
468,la ronge,55.1001,-105.2842,261.29,79,100,3.09,CA,1675459851
469,utinga,-5.8172,-35.3954,300.62,74,20,6.17,BR,1675459851
470,ruteng,-8.6136,120.4721,290.04,95,100,0.87,ID,1675459852
471,vernon,50.2581,-119.2691,274.89,78,100,1.03,CA,1675459852
472,atar,20.5169,-13.0499,292.04,10,100,4.76,MR,1675459853
473,buin,-33.7333,-70.75,307.28,27,0,4.3,CL,1675459853
474,bam,29.106,58.357,285.69,60,1,0.6,IR,1675459854
475,staryy nadym,65.6118,72.6842,263.81,92,99,3.05,RU,1675459854
476,garbolovo,60.3413,30.4955,267.21,95,100,3.14,RU,1675459854
477,young,-32.6833,-57.6333,297.64,54,78,6.59,UY,1675459855
478,tromso,69.6496,18.957,267.16,79,0,8.75,NO,1675459855
479,olinda,-8.0089,-34.8553,301.0,74,75,4.12,BR,1675459856
480,staroaleyskoye,51.0061,82.0,263.98,97,100,0.76,RU,1675459856
481,gimli,50.6336,-96.9907,254.16,65,100,9.77,CA,1675459671
482,atasu,48.6814,71.6433,269.44,97,100,2.02,KZ,1675459857
483,sabang,5.8933,95.3214,299.35,80,100,3.24,ID,1675459858
484,lorengau,-2.0226,147.2712,300.79,73,100,0.33,PG,1675459858
485,san alberto,7.7611,-73.3922,305.65,43,15,0.73,CO,1675459859
486,sigulda,57.1519,24.8647,269.13,96,83,1.34,LV,1675459859
487,ko samui,9.5357,99.9357,300.17,77,24,6.88,TH,1675459860
488,shalinskoye,55.7228,93.7594,256.79,98,100,1.08,RU,1675459860
489,inverness,57.4791,-4.224,282.1,84,40,3.6,GB,1675459861
490,sorland,67.667,12.6934,275.07,77,70,9.33,NO,1675459861
491,tongzi,28.7829,105.0877,286.17,70,100,1.94,CN,1675459862
492,swan hill,-35.3378,143.5544,284.64,67,10,4.73,AU,1675459567
493,aksu,41.1231,80.2644,266.84,88,100,0.84,CN,1675459863
494,show low,34.2542,-110.0298,286.53,23,0,4.63,US,1675459864
495,husavik,66.0449,-17.3389,278.58,71,100,10.31,IS,1675459864
496,coos bay,43.3665,-124.2179,286.14,83,75,11.83,US,1675459834
497,palmer,42.1584,-72.3287,261.52,31,75,13.89,US,1675459865
498,alta floresta,-9.8756,-56.0861,297.43,90,100,1.32,BR,1675459868
499,lompoc,34.6391,-120.4579,293.03,69,75,3.13,US,1675459870
500,kyshtovka,56.555,76.6271,254.37,100,100,1.16,RU,1675459871
501,vila,42.0304,-8.1588,276.64,62,0,1.61,PT,1675459872
502,natal,-5.795,-35.2094,300.51,74,20,6.17,BR,1675459830
503,ranghulu,46.65,124.8667,250.75,99,15,1.78,CN,1675459874
504,dorverden,52.85,9.2333,280.51,79,100,8.52,DE,1675459875
505,neiafu,-18.65,-173.9833,301.53,74,75,4.63,TO,1675459876
506,mossendjo,-2.9506,12.7261,294.94,97,78,0.88,CG,1675459876
507,lisakovsk,52.5369,62.4936,249.17,99,17,1.83,KZ,1675459891
508,the valley,18.217,-63.0578,300.23,69,40,6.17,AI,1675459892
509,darhan,49.4867,105.9228,248.21,98,29,1.38,MN,1675459893
510,pedasi,7.5333,-80.0333,303.74,71,92,6.38,PA,1675459893
511,penalva,-3.2942,-45.1736,297.0,96,100,1.33,BR,1675459893
512,aykhal,66.0,111.5,240.85,100,97,1.81,RU,1675459894
513,ulaanbaatar,47.9077,106.8832,245.22,76,3,1.0,MN,1675459894
514,kuryk,43.2,51.65,276.7,86,100,8.43,KZ,1675459895
515,utamysh,42.4072,47.7511,269.0,70,100,1.87,RU,1675459896
516,toba,34.4833,136.85,273.15,67,81,5.66,JP,1675459896
517,jeremie,18.65,-74.1167,298.92,69,50,0.2,HT,1675459897
518,sao gabriel da cachoeira,-0.1303,-67.0892,298.15,95,97,0.92,BR,1675459897
519,saint-francois,46.4154,3.9054,277.97,83,100,0.51,FR,1675459651
520,egvekinot,66.3167,-179.1667,244.38,86,6,6.58,RU,1675459898
521,coahuayana,18.7333,-103.6833,303.82,35,62,3.24,MX,1675459899
522,hibbing,47.4272,-92.9377,255.13,41,100,4.12,US,1675459715
523,vadinsk,53.6916,43.0574,269.79,95,98,4.23,RU,1675459899
524,shumyachi,53.8583,32.4242,266.64,97,94,2.48,RU,1675459900
525,anito,12.4497,125.2886,297.74,89,100,5.52,PH,1675459900
526,xudat,41.631,48.681,275.89,82,100,1.61,AZ,1675459901
527,chattanooga,35.0456,-85.3097,280.17,37,0,7.2,US,1675459764
528,pozoblanco,38.3791,-4.8483,277.97,56,0,1.97,ES,1675459741
529,caravelas,-17.7125,-39.2481,298.13,82,3,2.93,BR,1675459902
530,gangapur,26.4833,76.7167,286.82,41,0,0.82,IN,1675459902
531,kalmunai,7.4167,81.8167,297.29,86,28,2.28,LK,1675459903
532,peniche,39.3558,-9.3811,284.32,86,0,5.03,PT,1675459903
533,mehamn,71.0357,27.8492,272.1,86,75,6.69,NO,1675459904
534,chifeng,42.2683,118.9636,263.74,58,4,2.88,CN,1675459675
535,tutoia,-2.7619,-42.2744,299.64,82,100,4.41,BR,1675459781
536,koceljeva,44.4736,19.8117,277.24,85,100,6.79,RS,1675459905
537,aktau,43.65,51.2,273.47,86,100,9.62,KZ,1675459905
538,gobabis,-22.45,18.9667,296.52,63,62,1.53,NA,1675459648
539,waingapu,-9.6567,120.2641,297.52,90,100,2.62,ID,1675459906
540,umba,66.6871,34.3429,256.3,97,64,2.86,RU,1675459907
541,shiliguri,26.7,88.4333,288.59,52,3,1.38,IN,1675459907
542,kasamwa,-2.85,32.4333,290.38,87,58,1.5,TZ,1675459907
543,chama,47.1821,8.4636,280.25,79,75,0.51,CH,1675459908
544,alpena,45.0617,-83.4327,261.58,52,20,5.14,US,1675459908
545,shambu,9.5667,37.1,286.6,43,100,0.87,ET,1675459909
546,christchurch,-43.5333,172.6333,302.22,51,0,2.57,NZ,1675459696
547,samarkand,39.6542,66.9597,275.83,93,75,4.12,UZ,1675459909
548,prince rupert,54.3161,-130.3201,279.2,86,100,6.69,CA,1675459910
549,port hardy,50.6996,-127.4199,282.25,66,100,7.2,CA,1675459911
550,dedougou,12.4667,-3.4667,299.27,13,6,3.53,BF,1675459911
551,grand-santi,4.25,-54.3833,295.88,99,49,1.36,GF,1675459912
552,russell,32.3502,-85.1999,288.75,33,0,6.69,US,1675459793
553,bandiagara,14.3501,-3.6104,296.45,11,9,5.78,ML,1675459913
554,kijang,35.2442,129.2139,273.0,35,0,2.61,KR,1675459913
555,kampong thum,12.7111,104.8887,296.55,71,100,2.77,KH,1675459914
556,vostok,46.4856,135.8833,249.23,99,97,2.1,RU,1675459655
557,mikhaylovskoye,51.8239,79.7172,254.22,99,100,0.82,RU,1675459914
558,mitsamiouli,-11.3847,43.2844,300.22,79,99,0.61,KM,1675459915
559,sinnamary,5.3833,-52.95,298.15,85,97,6.36,GF,1675459915
560,mumford,5.2618,-0.759,299.67,87,95,4.4,GH,1675459916
561,sioux lookout,50.1001,-91.917,252.19,54,100,3.6,CA,1675459916
562,luang prabang,19.8856,102.1347,291.43,87,61,0.47,LA,1675459917
563,alice springs,-23.7,133.8833,286.9,88,0,2.06,AU,1675459917
564,irbil,36.1926,44.0106,276.05,75,0,1.03,IQ,1675459918
565,arawa,-6.2132,155.5367,301.11,80,100,0.8,PG,1675459918
566,ulladulla,-35.35,150.4667,290.35,43,0,4.59,AU,1675459919
567,talnakh,69.4865,88.3972,261.29,96,100,2.23,RU,1675459854
568,asau,46.4333,26.4,269.66,89,100,1.95,RO,1675459919
569,nizhniy kuranakh,58.8353,125.4869,255.59,98,100,1.6,RU,1675459920
570,upington,-28.4478,21.2561,301.36,23,66,1.03,ZA,1675459831
571,bulgan,48.8125,103.5347,255.81,84,93,1.66,MN,1675459838
572,presque isle,46.6811,-68.0159,246.64,67,94,4.02,US,1675459921
573,stephenville crossing,48.5,-58.4318,269.22,86,100,9.26,CA,1675459831
